Feature,Mean |SHAP value|
us_aqi,36.52012275009129
day_of_month,5.340400659468418
pm2_5,4.761062608090984
aqi_rolling_std_24h,4.161741439744713
pm2_5_lag_24h,4.0374913778498485
sulphur_dioxide,3.311020304477633
pm2_5_rolling_mean_24h,2.5077956467014624
aqi_momentum_6h,1.4883358375583458
pm2_5_to_pm10_ratio,1.1479302447731972
total_particulates,1.088046652074847
aqi_change_1h,1.0513068704693702
pm10_x_hour,0.7772329951493059
pm10,0.6648031632965514
aqi_lag_24h,0.07894507925289282
pm2_5_rolling_std_24h,0.024081388807470055
